million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
amid,prep. 在其中，在其间
beneath,"prep. 在…之下
adv. 在下方"
wit,"n. 智慧；才智；智力
v. <古>知道；即"
dean,n. 院长；系主任；教务长；主持牧师
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
lung,n. 肺；呼吸器
teen,"n. 青少年（等于teenager）；愤怒；悲哀
adj. 十几岁的（等于teenaged）"
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
coder,n. 编码器；编码员
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
mania,n. 狂热；狂躁；热衷
mercy,n. 仁慈，宽容；怜悯；幸运；善行
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
tribe,n. 部落；族；宗族；一伙
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
banker,n. 银行家；银行业者；掘土工
boomer,n. 生育高峰中出生的人；赶往新兴地区安家的人；发出隆隆声者；发育完全的雄袋鼠
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
bummer,n. 懒汉；游手好闲的人；吸食迷幻药的反效果
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
spouse,"n. 配偶
vt. 和…结婚"
thrift,n. 节俭；节约； 海石竹
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
waiter,n. 服务员，侍者
arbiter,n.  仲裁者；裁决人
auditor,n. 审计员；听者；旁听生
backlog,"n.  积压的工作；积压待办的事务；大木材
vt. 储备；把…积压起来"
boredom,n. 厌倦；令人厌烦的事物
burnout,n. 烧坏；燃料烧尽
canteen,n. 食堂，小卖部；水壶
courage,n. 勇气；胆量
cyclist,n. 骑自行车的人
dropout,n. 中途退学；辍学学生
faculty,n. 科，系；能力；全体教员
fallacy,n. 谬论，谬误
fallout,n. 原子尘； 放射性尘埃；原子尘微粒回降；附带结果
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
gravity,n. 重力，地心引力；严重性；庄严
hygiene,n. 卫生；卫生学；保健法
mindset,n. 心态；倾向；习惯；精神状态
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
pastime,n. 娱乐，消遣
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
silence,"n. 沉默；寂静；缄默；不谈；无声状态
vt. 使沉默；使安静；压制；消除噪音
int. 安静！；别作声！"
verdict,n. 结论；裁定
achiever,n. 获得成功的人
activist,n. 积极分子；激进主义分子
adoption,n. 采用；收养；接受
attorney,n. 律师；代理人；检查官
blessing,"n. 祝福；赐福；祷告
v. 使幸福（bless的ing形式）；使神圣化；为…祈神赐福"
buzzword,n. 流行词
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
defender,n. 防卫者，守卫者；辩护者；拥护者；卫冕者
designer,"n. 设计师；谋划者
adj. 由设计师专门设计的；享有盛名的；赶时髦的"
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
doctrine,n. 主义；学说；教义；信条
eyesight,n. 视力；目力
freshman,n. 新手，生手；大学一年级学生
goodness,"n. 善良，优秀 ；精华，养分
int. 天哪"
literacy,n. 读写能力；精通文学
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
rhetoric,"n. 修辞，修辞学；华丽的词藻
adj. 花言巧语的"
semester,n. 学期；半年
borrowing,"n. 借款；借用
v. 借入；采用（borrow的ing形式）"
collector,n. 收藏家； 集电极；收税员；征收者
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
councilor,n. 顾问；评议员；参赞
foreigner,n. 外地人，外国人
mortality,n. 死亡数，死亡率；必死性，必死的命运
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
pessimism,n. 悲观，悲观情绪；厌世主义
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
statesman,n. 政治家；国务活动家
assignment,n. 分配；任务；作业；功课
attendance,n. 出席；到场；出席人数；考勤
attraction,n. 吸引，吸引力；引力；吸引人的事物
auctioneer,"n. 拍卖商
vt. 拍卖"
commonness,n. 共性；平凡
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
conformity,n. 一致，适合；符合；相似
conscience,n. 道德心，良心
curriculum,"n. 课程
总课程"
discontent,"n. 不满
adj. 不满的
vt. 使不满"
disruption,n. 破坏，毁坏；分裂，瓦解
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
excitement,n. 兴奋；刺激；令人兴奋的事物
federation,n. 联合；联邦；联盟；联邦政府
heatstroke,n.  中暑
obligation,n. 义务；职责；债务
reluctance,n.  磁阻；勉强；不情愿
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
technician,n. 技师，技术员；技巧纯熟的人
temptation,n. 引诱；诱惑物
arrangement,n. 布置；整理；准备
consultancy,n. 咨询公司；顾问工作
demographer,n.  人口统计学家，人口学家
disposition,n. 处置； 性情； 部署；倾向
indignation,n. 愤慨；愤怒；义愤
self-esteem,n. 自尊；自负；自大
superiority,n. 优越，优势；优越性
practitioner,n. 开业者，从业者，执业医生
superstition,n. 迷信
determination,n. 决心；果断；测定
entertainment,n. 娱乐；消遣；款待
accountability,n. 有义务；有责任；可说明性
astrophysicist,n. 天体物理学家
competitiveness,n. 竞争力，好竞争
confidentiality,n. 机密， 机密性
dissatisfaction,n. 不满；令人不满的事物
commercialization,n. 商品化，商业化
antidiscrimination,adj. 反种族歧视的；反歧视的
gym,n. 健身房；体育；体育馆
hen,n. 母鸡；女人；雌禽
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
pan,"n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘
vi. 淘金；在淘洗中收获金子
vt. 淘金；在浅锅中烹调（食物）；严厉的批评"
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
coil,"n. 线圈；卷
vt. 盘绕，把…卷成圈
vi. 成圈状"
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞"
pair,"n. 一对，一双，一副
vt. 把…组成一对"
salt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
vt. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化"
silt,"n. 淤泥，泥沙；煤粉；残渣
vt. 使淤塞；充塞
vi. 淤塞，充塞；为淤泥堵塞"
bible,n. 有权威的书
bonus,n. 奖金；红利；额外津贴
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
diary,n. 日志，日记；日记簿
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
column,n. 纵队，列；专栏；圆柱，柱形物
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
palace,n. 宫殿；宅邸；豪华住宅
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
acreage,n. 面积，英亩数
biofuel,n. 生物燃料
dioxide,n. 二氧化物
grammar,n. 语法；语法书
highway,n. 公路，大路；捷径
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
protein,"n. 蛋白质；朊
adj. 蛋白质的"
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
receipt,"n. 收到；收据；收入
vt. 收到"
vitamin,n.  维生素； 维他命
webpage,n. 网页
assembly,n. 装配；集会，集合
disposal,n. 处理；支配；清理；安排
geometry,"n. 几何学
几何结构"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
molecule,n.  分子；微小颗粒，微粒
particle,n. 颗粒； 质点；极小量；小品词
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
apartment,n. 公寓；房间
chemistry,n. 化学；化学过程
interface,"n. 界面；<计>接口；交界面
v. （使通过界面或接口）接合，连接；使联系
vi. 相互作用（或影响）；交流，交谈"
milestone,n. 里程碑，划时代的事件
parachute,"n. 降落伞
vi. 跳伞
空投"
variation,n. 变化； 变异，变种
decoration,n. 装饰，装潢；装饰品；奖章
centrepiece,n. 中心装饰品
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
devaluation,n. 货币贬值
mathematics,n. 数学；数学运算
scholarship,n. 奖学金；学识，学问
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
questionnaire,n. 问卷；调查表
semiconductor,n.  半导体
agony,n. 苦恼；极大的痛苦；临死的挣扎
blood,"n. 血，血液；血统
vt. 从…抽血；使先取得经验"
craze,"n. 狂热
vt. 使发狂；使产生纹裂
vi. 发狂；产生纹裂"
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
havoc,"n. 大破坏；浩劫；蹂躏
vt. 严重破坏
vi. 损毁"
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
outset,n. 开始；开端
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
cruelty,n. 残酷；残忍；残酷的行为
ecology,n. 生态学；社会生态学
essence,n. 本质，实质；精华；香精
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
organism,n. 有机体；生物体；微生物
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
certainty,n. 必然；确实；确实的事情
ecosystem,n. 生态系统
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
threshold,n. 入口；门槛；开始；极限；临界值
constraint,n.  约束；局促，态度不自然；强制
acclimation,n. 适应环境（气候、水土等）
conjunction,n. 结合； 连接词；同时发生
determinism,n.  决定论
probability,n. 可能性；机率； 或然率
anticipation,n. 希望；预感；先发制人；预支
completeness,n. 完整；完全；完成；圆满；结束
coordination,n. 协调，调和；对等，同等
consolidation,n. 巩固；合并；团结
disintegration,n. 瓦解，崩溃；分解
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
sue,"vt. 控告；请求
vi. 控告；提出请求"
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
coax,"vt. 哄；哄诱；慢慢将…弄好
vi. 哄骗；劝诱"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
spike,"n. 长钉，道钉；钉鞋；细高跟
vt. 阻止；以大钉钉牢；用尖物刺穿"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
widen,"vt. 放宽
vi. 变宽"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
deduce,vt. 推论，推断；演绎出
deepen,"vt. 使加深；使强烈；使低沉
vi. 变深；变低沉"
delete,vt. 删除
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
devote,vt. 致力于；奉献
enrich,vt. 使充实；使肥沃；使富足
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
loosen,"vt. 放松；松开
vi. 放松；松开"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
assuage,vt. 平息；缓和；减轻
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
condemn,vt. 谴责；判刑，定罪；声讨
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
perplex,vt. 使困惑，使为难；使复杂化
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
plummet,"n.  铅锤，坠子
vi. 垂直落下；（价格、水平等）骤然下跌"
pollute,vt. 污染；玷污；败坏
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
specify,vt. 指定；详细说明；列举；把…列入说明书
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
surpass,vt. 超越；胜过，优于；非…所能办到或理解
unleash,"vt. 发动；解开…的皮带；解除…的束缚
vi. 不受约束；自由自在；放荡不羁"
utilize,vt. 利用
violate,vt. 违反；侵犯，妨碍；亵渎
astonish,vt. 使惊讶
backfire,"n. 逆火，回火
vi. 放出逆火；预先放火；产生出乎意料及事与愿违的结果"
disclose,vt. 公开；揭露
engender,"vt. 使产生；造成
vi. 产生；引起"
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
instruct,vt. 指导；通知；命令；教授
paralyze,vt. 使麻痹；使瘫痪
prohibit,vt. 阻止，禁止
resemble,vt. 类似，像
restrain,vt. 抑制，控制；约束；制止
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
constrain,vt. 驱使；强迫；束缚
customize,vt. 定做，按客户具体要求制造
enlighten,vt. 启发，启蒙；教导，开导；照耀
exemplify,vt. 例证；例示
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
undermine,vt. 破坏，渐渐破坏；挖掘地基
undertake,vt. 承担，保证；从事；同意；试图
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
deteriorate,"vi. 恶化，变坏
vt. 恶化"
discontinue,"vt. 停止；使中止
vi. 停止，中断"
authenticate,vt. 鉴定；证明…是真实的
commercialize,vt. 使商业化；使商品化
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
lazy,adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
naive,"adj. 天真的,幼稚的"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
valid,adj. 有效的；有根据的；合法的；正当的
bodily,"adj. 身体的；肉体的
adv. 整体地；亲自地；以肉体形式"
frozen,"v. 结冰（freeze的过去分词）；凝固；变得刻板
adj. 冻结的；冷酷的"
inborn,adj. 天生的；先天的
intact,adj. 完整的；原封不动的；未受损伤的
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
neural,adj. 神经的；神经系统的；背的；神经中枢的
uneasy,adj. 不舒服的；心神不安的；不稳定的
upward,"adj. 向上的；上升的
adv. 向上"
viable,adj. 可行的；能养活的；能生育的
binding,"n. 装订；捆绑；粘合物
v. 捆绑（bind的ing形式）
adj. 有约束力的；捆绑的"
elderly,adj. 上了年纪的；过了中年的；稍老的
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
musical,"adj. 音乐的；悦耳的
n. 音乐片"
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
precise,adj. 精确的；明确的；严格的
accurate,adj. 精确的
artistic,adj. 艺术的；风雅的；有美感的
carefree,adj. 无忧无虑的；不负责的
clinical,adj. 临床的；诊所的
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
diligent,adj. 勤勉的；用功的，费尽心血的
feasible,adj. 可行的；可能的；可实行的
flexible,adj. 灵活的；柔韧的；易弯曲的
fruitful,adj. 富有成效的；多产的；果实结得多的
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
implicit,adj. 含蓄的；暗示的；盲从的
rational,"n. 有理数
adj. 合理的；理性的"
rigorous,adj. 严格的，严厉的；严密的；严酷的
bimonthly,"n. 双月刊
adj. 两月一次的；每月两次的
adv. 隔月地；一月两次地"
childless,adj. 无子女的
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
competent,adj. 胜任的；有能力的；能干的；足够的
defective,"n. 有缺陷的人；不完全变化词
adj. 有缺陷的；不完美的"
defensive,"n. 防御；守势
adj. 自卫的；防御用的"
electoral,adj. 选举的；选举人的
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
inclusive,adj. 包括的，包含的
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
intricate,adj. 复杂的；错综的，缠结的
localized,"adj. 局部的；地区的；小范围的
v. 定位（localize的过去分词）"
poisonous,adj. 有毒的；恶毒的；讨厌的
prominent,adj. 突出的，显著的；杰出的；卓越的
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
automotive,adj. 汽车的；自动的
burdensome,adj. 繁重的；累赘的；恼人的
changeable,adj. 无常的；可改变的；易变的；不定的
compulsive,adj. 强制的；强迫的
conclusive,adj. 决定性的；最后的；确实的；确定性的
elementary,adj. 基本的；初级的； 元素的
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
insatiable,adj. 贪得无厌的；不知足的
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
prosperous,adj. 繁荣的；兴旺的
remarkable,adj. 卓越的；非凡的；值得注意的
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
subsequent,adj. 后来的，随后的
accountable,adj. 有责任的；有解释义务的；可解释的
adventurous,adj. 爱冒险的；大胆的；充满危险的
antismoking,n.& adj. 反对吸烟（的） 禁止吸烟（的）
bestselling,a. 畅销的
conflicting,"adj. 冲突的；相矛盾的；不一致的
v. 冲突；争执（conflict的ing形式）"
fashionable,adj. 流行的；时髦的；上流社会的
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
constructive,adj. 建设性的；推定的；构造上的；有助益的
dissatisfied,"v. 使不满（dissatisfy的过去式和过去分词）
adj. 不满意的；不高兴的；流露不满的"
architectural,adj. 建筑学的；建筑上的；符合建筑法的
developmental,adj. 发展的；启发的
unprecedented,adj. 空前的；无前例的
constitutional,"n. 保健散步；保健运动
adj. 宪法的；本质的；体质上的；保健的"
conversational,adj. 对话的；健谈的
counterintuitive,adj. 违反直觉的
lately,adv. 近来，不久前
chiefly,adv. 主要地；首先
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
basically,adv. 主要地，基本上
curiously,adv. 好奇地
routinely,adv. 例行公事地；老一套地
constantly,adv. 不断地；时常地
conversely,adv. 相反地
accordingly,adv. 因此，于是；相应地；照著
effectively,adv. 有效地，生效地；有力地；实际上
fortunately,adv. 幸运地
undoubtedly,adv. 确实地，毋庸置疑的
collectively,adv. 共同地，全体地
approximately,adv. 大约，近似地；近于
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
cream,n. 奶油，乳脂；精华；面霜；乳酪
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
graph,"n. 图表；曲线图
vt. 用曲线图表示"
