data,n. 数据（datum的复数）；资料
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
alongside,"prep. 在……旁边
adv. 在旁边"
jury,"n.  陪审团；评判委员会
adj. 应急的"
senate,n. 参议院，上院；（古罗马的）元老院
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
council,n. 委员会；会议；理事会；地方议会；顾问班子
surgery,n. 外科；外科手术；手术室；诊疗室
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
premier,"n. 总理，首相
adj. 第一的；最初的"
statute,n.  法规；法令；条例
arbiter,n.  仲裁者；裁决人
bribery,n.  贿赂；受贿；行贿
gambler,n. 赌徒；投机商人
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
verdict,n. 结论；裁定
heritage,n. 遗产；传统；继承物；继承权
treasury,n. 国库，金库；财政部；宝库
alliance,n. 联盟，联合；联姻
commuter,n. 通勤者，经常乘公共车辆往返者； 月季票乘客
democrat,n. 民主党人；民主主义者；民主政体论者
doctrine,n. 主义；学说；教义；信条
literacy,n. 读写能力；精通文学
outsider,n. 外人；无取胜希望者
prestige,n. 威望，声望；声誉
scrutiny,n. 详细审查；监视；细看；选票复查
ancestry,n. 祖先；血统
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
unionist,n. 工会会员；联合主义者
developer,n. 开发者； 显影剂
guideline,"n. 指导方针
参考"
migration,n. 迁移；移民；移动
privilege,"n. 特权；优待
vt. 给与…特权；特免"
committee,n. 委员会
dramatist,n. 剧作家，剧本作者
inference,n. 推理；推论；推断
orchestra,n. 管弦乐队；乐队演奏处
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
addiction,n. 上瘾，沉溺；癖嗜
conductor,n. 导体；售票员；领导者；管理人
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
extension,n. 延长；延期；扩大；伸展；电话分机
offspring,n. 后代，子孙；产物
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
skepticism,n. 怀疑论；怀疑的态度
astronomer,n. 天文学家
curriculum,"n. 课程
总课程"
dependency,n. 属国；从属；从属物
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
enrollment,n. 登记；入伍
governance,n. 管理；统治；支配
inhabitant,n. 居民；居住者
opposition,n. 反对；反对派；在野党；敌对
allocation,n. 分配，配置；安置
aspiration,n. 渴望；抱负；送气；吸气；吸引术
capitalism,n. 资本主义
conception,n. 怀孕；概念；设想；开始
conformity,n. 一致，适合；符合；相似
conscience,n. 道德心，良心
consultant,n. 顾问；咨询者；会诊医生
counseling,"n. 咨询服务
v. 建议；劝告；商讨（counsel的ing形式）"
expectancy,n. 期望，期待
prosecutor,n. 检察官；公诉人； 起诉人；实行者
disapproval,n. 不赞成；不喜欢
hospitality,n. 好客；殷勤
methodology,n. 方法学，方法论
appointment,n. 任命；约定；任命的职位
consultancy,n. 咨询公司；顾问工作
alleviation,n. 缓和；镇痛物
alphabetism,n. (作符号的)字母使用(如使用一组字母作为笔名或署名)
contributor,n. 贡献者；投稿者；捐助者
imagination,n.  想象力；空想；幻想物
inclination,n. 倾向，爱好；斜坡
legislature,n. 立法机关；立法机构
predecessor,n. 前任，前辈
stakeholder,n. 利益相关者；赌金保管者
statistician,n. 统计学家，统计员
intervention,n. 介入；调停；妨碍
manipulation,n. 操纵；操作；处理；篡改
psychologist,n. 心理学家，心理学者
commissioner,n. 理事；委员；行政长官；总裁
exaggeration,n. 夸张；夸大之词；夸张的手法
manufacturer,n. 制造商； 厂商
surveillance,n. 监督；监视
collaboration,n. 合作；勾结；通敌
archaeologist,n. 考古学家
particularism,n. 特殊神宠论；完全忠于一种理论
neuroscientist,n. 神经系统科学家
dissatisfaction,n. 不满；令人不满的事物
misinterpretation,n. 误解；误释
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
helmet,n. 钢盔，头盔
dosage,n. 剂量，用量
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
metrics,n. 度量；作诗法；韵律学
oxygen,n.  氧气， 氧
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
fluency,"n. （语言、文章）流利；（技能）娴熟
n. 流畅度（写作演讲等）"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
volcano,n. 火山
subsidy,n. 补贴；津贴；补助金
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
cocaine,n.  可卡因
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
tobacco,n. 烟草，烟叶；烟草制品；抽烟
artifact,n. 人工制品；手工艺品
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
predator,n.  捕食者； 食肉动物；掠夺者
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
portrait,n. 肖像；描写；半身雕塑像
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
consensus,n. 一致；舆论；合意
expansion,n. 膨胀；阐述；扩张物
amendment,n. 修正案；改善；改正
algorithm,n.  算法，运算法则
grievance,n. 不满，不平；委屈；冤情
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
streaming,"n. 流；（英）按能力分组
v. 流动（stream的ing形式）"
cigarette,n. 香烟；纸烟
framework,n. 框架，骨架；结构，构架
peninsula,n. 半岛
nutrition,n. 营养，营养学；营养品
satellite,n. 卫星；人造卫星；随从；卫星国家
stimulant,"n.  兴奋剂；刺激物；酒精饮料
adj. 激励的；使人兴奋的"
warehouse,n. 仓库；货栈；大商店
subheading,n. 副标题
depressant,"n. 镇静剂， 抑制剂
adj. 有镇静作用的"
excavation,n. 挖掘，发掘
fertilizer,n.  肥料；受精媒介物；促进发展者
irrigation,n. 灌溉； 冲洗；冲洗法
medication,n. 药物；药物治疗；药物处理
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
integration,n. 集成；综合
surroundings,n. 环境；周围的事物
wholesaling,n. 批发
transparency,n. 透明，透明度；幻灯片；有图案的玻璃
silicon valley,"na. 硅谷
 矽谷；美国硅谷；硅谷中心地带"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
quota,n. 配额；定额；限额
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
primacy,n. 首位；卓越；大主教的职位
urgency,n. 紧急；催促；紧急的事
receptor,n.  受体；接受器；感觉器官
accuracy,n.  精确度，准确性
baseline,n. 基线；底线
fraction,n. 分数；部分；小部分；稍微
dominance,n. 优势；统治；支配
emergence,n. 出现，浮现；发生；露头
paralysis,n. 麻痹；无力；停顿
constraint,n.  约束；局促，态度不自然；强制
evaluation,n. 评价； 评估；估价；求值
complexity,n. 复杂，复杂性；复杂错综的事物
standstill,n. 停顿；停止
degradation,n. 退化；降格，降级；堕落
peculiarity,n. 特性；特质；怪癖；奇特
accumulation,n. 积聚，累积；堆积物
breakthrough,n. 突破；突破性进展
coordination,n. 协调，调和；对等，同等
disadvantage,n. 缺点；不利条件；损失
preservation,n. 保存，保留
subscription,n. 捐献；订阅；订金；签署
universality,n. 普遍性；广泛性；一般性；多方面性
unpredictability,n. 不可预测性，不可预知性；不可预见性
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
compel,vt. 强迫，迫使；强使发生
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
strive,vi. 努力；奋斗；抗争
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
derive,"vt. 源于；得自；获得
vi. 起源"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
knight,"n. 骑士，武士；爵士
vt. 授以爵位"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
resent,vt. 怨恨；愤恨；厌恶
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
unfold,"vi. 展开；显露
vt. 打开；呈现"
deprive,vt. 使丧失，剥夺
prevail,vi. 盛行，流行；战胜，获胜
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
provoke,vt. 驱使；激怒；煽动；惹起
surpass,vt. 超越；胜过，优于；非…所能办到或理解
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
enrol,"vi. 注册；参军
vt. 登记；卷起；入学；使入会"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
classify,vt. 分类；分等
envision,vt. 想象；预想
overrule,vt. 否决；统治；对…施加影响
resemble,vt. 类似，像
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
restructure,vt. 调整；重建；更改结构
authorise,vt. 授权；批准；允许；委任（等于authorize）
authorize,vt. 批准，认可；授权给；委托代替
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
analog,"n.  模拟；类似物
adj.  模拟的；有长短针的"
cosmic,adj. 宇宙的（等于cosmical）
chronic,adj. 慢性的；长期的；习惯性的
prudent,adj. 谨慎的；精明的；节俭的
inherent,adj. 固有的；内在的；与生俱来的，遗传的
monetary,adj. 货币的；财政的
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
advisory,"n. 报告；公告
adj. 咨询的；顾问的；劝告的"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
gigantic,adj. 巨大的，庞大的
ignorant,adj. 无知的；愚昧的
precious,adj. 宝贵的；珍贵的；矫揉造作的
stunning,"adj. 极好的；使人晕倒的；震耳欲聋的
v. 把…打昏；使震耳欲聋；使大吃一惊（stun的ing形式）"
symbolic,adj. 象征的；符号的；使用符号的
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
upcoming,adj. 即将来临的
volcanic,"n. 火山岩
adj. 火山的；猛烈的；易突然发作的"
cognitive,adj. 认知的，认识的
misguided,"adj. 被误导的
v. 使入歧途（misguide的过去分词）"
reluctant,adj. 不情愿的；勉强的；顽抗的
abdominal,adj. 腹部的；有腹鳍的
childless,adj. 无子女的
impartial,adj. 公平的，公正的；不偏不倚的
courteous,adj. 有礼貌的；谦恭的
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
intuitive,adj. 直觉的；凭直觉获知的
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
scholarly,adj. 博学的；学者风度的；学者派头的
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
biomedical,adj. 生物医学的
complicated,adj. 难懂的，复杂的
linguistic,adj. 语言的；语言学的
suspicious,adj. 可疑的；怀疑的；多疑的
unilateral,adj. 单边的； 单侧的；单方面的；单边音；（父母）单系的
vocational,adj. 职业的，行业的
burdensome,adj. 繁重的；累赘的；恼人的
charitable,adj. 慈善事业的；慷慨的，仁慈的；宽恕的
courageous,adj. 有胆量的，勇敢的
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
perplexing,adj. 复杂的，令人费解的；令人困惑的
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
subsequent,adj. 后来的，随后的
unjustified,adj. 不正当的；未被证明其正确的
legislative,"adj. 立法的；有立法权的
n. 立法权；立法机构"
accountable,adj. 有责任的；有解释义务的；可解释的
antipoverty,"adj. 反贫穷的
n. 反贫穷的<美>（尤指政府倡议的）反贫穷计划"
foreseeable,adj. 可预知的；能预测的
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
overdressed,adj. 过分打扮的；穿着过于讲究的
pessimistic,adj. 悲观的，厌世的；悲观主义的
superfluous,adj. 多余的；不必要的；奢侈的
disorganized,adj. 紊乱的；无组织的
inconclusive,adj. 不确定的；非决定性的；无结果的
insufficient,"adj. 不足的，不充足的；不胜任的；缺乏能力的
n. 不足；缺乏"
journalistic,adj. 新闻业的，新闻工作者的
photographic,adj. 摄影的；逼真的；（尤指记忆）详细准确的
agricultural,adj. 农业的；农艺的
contemptuous,adj. 轻蔑的；侮辱的
enthusiastic,adj. 热情的；热心的；狂热的
identifiable,adj. 可辨认的；可认明的；可证明是同一的
presidential,adj. 总统的；首长的；统辖的
unparalleled,adj. 无比的；无双的；空前未有的
complementary,adj. 补足的，补充的
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
disadvantaged,"n. 弱势团体；不利条件
adj. 贫困的；处于不利地位的；社会地位低下的
v. 使处于不利地位（disadvantage的过去式和过去分词）"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
collaborative,adj. 合作的，协作的
mediterranean,
inappropriate,adj. 不适当的；不相称的
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
vastly,adv. 极大地；广大地；深远地
hitherto,adv. 迄今；至今
routinely,adv. 例行公事地；老一套地
inherently,adv. 内在地；固有地；天性地
explicitly,adv. 明确地；明白地
intimately,adv. 熟悉地；亲切地；私下地
presumably,adv. 大概；推测起来；可假定
genetically,adv. 从遗传学角度；从基因方面
considerably,adv. 相当地；非常地
indefinitely,adv. 不确定地，无限期地；模糊地，不明确地
incompetently,adv. 无能力地；不胜任地
disproportionately,adv. 不成比例地
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
lane,n. 小巷； 航线；车道；罚球区
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
colony,n. 殖民地；移民队；种群；动物栖息地
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
vessel,n. 船，舰； 脉管，血管；容器，器皿
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
heaven,n. 天堂；天空；极乐
thesis,n. 论文；论点
column,n. 纵队，列；专栏；圆柱，柱形物
genius,n. 天才，天赋；精神
regime,n. 政权，政体；社会制度；管理体制
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
horizon,n.  地平线；视野；眼界；范围
penalty,n. 罚款，罚金；处罚
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
kinship,n.  亲属关系，家属关系；亲密关系
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
tragedy,n. 悲剧；灾难；惨案
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
paycheck,n. 付薪水的支票，薪水
delivery,n.  交付；分娩；递送
adoption,n. 采用；收养；接受
claimant,n. 原告； 索赔人；提出要求者
division,n.  除法；部门；分配；分割；师（军队）；赛区
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
identity,n. 身份；同一性，一致；特性；恒等式
illusion,n. 幻觉，错觉；错误的观念或信仰
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
validity,n.  有效性；正确；正确性
sentiment,n. 感情，情绪；情操；观点；多愁善感
variation,n. 变化； 变异，变种
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
liability,n. 责任；债务；倾向；可能性；不利因素
threshold,n. 入口；门槛；开始；极限；临界值
confusion,n. 混淆，混乱；困惑
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
enthusiasm,n. 热心，热忱，热情
legitimacy,n. 合法；合理；正统
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
commitment,n. 承诺，保证；委托；承担义务；献身
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
membership,n. 资格；成员资格；会员身份
perception,n. 知觉； 感觉；看法；洞察力；获取
possession,n. 拥有；财产；领地；自制；着迷
subscriber,n. 订户；签署者；捐献者
appearance,n. 外貌，外观；出现，露面
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
enterprise,n. 企业；事业；进取心；事业心
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
occupation,n. 职业；占有；消遣；占有期
parliament,n. 议会，国会
projection,n. 投射；规划；突出；发射；推测
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
circulation,n. 流通，传播；循环；发行量
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
defence,n. 防御；防卫；答辩；防卫设备
frustration,n. 挫折
photography,n. 摄影；摄影术
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
cultivation,n. 培养；耕作；耕种；教化；文雅
disposition,n. 处置； 性情； 部署；倾向
fascination,n. 魅力；魔力；入迷
restoration,n. 恢复；复位；王政复辟；归还
predominance,n. 优势；卓越
acquaintance,n. 熟人；相识；了解；知道
assimilation,n. 同化；吸收； 同化作用
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
architecture,n. 建筑学；建筑风格；建筑式样；架构
exploitation,n. 开发，开采；利用；广告推销；剥削
qualification,n. 资格；条件；限制；赋予资格
justification,n. 理由；辩护；认为有理，认为正当；释罪
manifestation,n. 表现；显示；示威运动
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
exert,vt. 运用，发挥；施以影响
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
cling,vi. 坚持，墨守；紧贴；附着
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
uphold,vt. 支撑；鼓励；赞成；举起
verify,vt. 核实；查证
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
inject,vt. 注入；注射
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
motivate,vt. 刺激；使有动机；激发…的积极性
populate,vt. 居住于；构成人口；移民于；殖民于
restrain,vt. 抑制，控制；约束；制止
suppress,vt. 抑制；镇压；废止
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
aggravate,vt. 加重；使恶化；激怒
formulate,vt. 规划；用公式表示；明确地表达
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
exemplify,vt. 例证；例示
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
constitute,vt. 组成，构成；建立；任命
anticipate,vt. 预期，期望；占先，抢先；提前使用
facilitate,vt. 促进；帮助；使容易
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
discontinue,"vt. 停止；使中止
vi. 停止，中断"
investigate,v. 调查；研究
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
dense,adj. 稠密的；浓厚的；愚钝的
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
valid,adj. 有效的；有根据的；合法的；正当的
fierce,adj. 凶猛的；猛烈的；暴躁的
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
fertile,adj. 富饶的，肥沃的；能生育的
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
implicit,adj. 含蓄的；暗示的；盲从的
profound,adj. 深厚的；意义深远的；渊博的
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
