pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
terrify,vt. 恐吓；使恐怖；使害怕
originate,"vt. 引起；创作
vi. 发源；发生；起航"
costly,adj. 昂贵的；代价高的
musical,"adj. 音乐的；悦耳的
n. 音乐片"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
tolerant,adj. 宽容的；容忍的；有耐药力的
excessive,adj. 过多的，极度的；过分的
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
mathematical,adj. 数学的，数学上的；精确的
theoretical,adj. 理论的；理论上的；假设的；推理的
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
seemingly,adv. 看来似乎；表面上看来
unfortunately,adv. 不幸地
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
path,n. 道路；小路；轨道
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
harmony,n. 协调；和睦；融洽；调和
movement,n. 运动；活动；运转；乐章
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
foundation,n. 基础；地基；基金会；根据；创立
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
contribution,n. 贡献；捐献；投稿
investigation,n. 调查；调查研究
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
apparent,adj. 显然的；表面上的
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
dig,"n. 戳，刺；挖苦
vi. 挖掘
vt. 挖，掘；探究"
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
march,n. 三月
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
CV,
tort,n. 侵权行为
boson,n.  玻色子
rubble,n. 碎石，碎砖；粗石堆
sonata,n. 奏鸣曲
hominid,"n. 原始人类；人科动物
adj. 人类及其祖先的"
pharaoh,n. 法老；暴君
megalith,n. 巨石
engraving,"n. 雕刻；雕刻术；雕刻品
v. 在…上雕刻；给…深刻的印象（engrave的ing形式）"
Exchequer,
hindrance,n. 障碍；妨碍；妨害；阻碍物
benefactor,n. 恩人；捐助者；施主
excavation,n. 挖掘，发掘
sift,"vt. 筛选；撒；过滤；详查
vi. 筛；详查；撒下；细究"
engrave,vt. 雕刻；铭记
perpetuate,"vt. 使不朽；保持
adj. 长存的"
ornate,adj. 华丽的；装饰的；（文体）绚丽的
indulgent,adj. 放纵的；宽容的；任性的
metaphysical,adj. 形而上学的；超自然的；玄学派诗歌的
fearsomely,adv. fearsome（可怕的）的变形
upstart,"n. 暴发户；自命不凡的人；傲慢自负的人
adj. 暴富的；自命不凡的
vt. 使…突然跳起；使…崛起
vi. 突然跳起；崛起"
taxpayer,n. 纳税人；所收租金只够支付地产税的建筑物
big-firm,大公司
law-firm, 律师事务所；法律事务所；律师情人
jobseeker,n. 求职者
jobcentre," （政府的）就业服务中心, 职业介绍所"
wellbeing,n. 幸福；福利；安乐
non-lawyer, 非律师
filmmaking,n. 制片，电影摄制
prize-giver,
job-training,职业培训
self-reliance,n. 自力更生，依靠自己；自恃
magnetic-field,磁场
self-promotion,n. 自我推销；自促作用
non-professional,非专业的
nuisance-lawsuit,
pinpoint,"n. 针尖；精确位置；极小之物
vt. 查明；精确地找到；准确描述
adj. 精确的；详尽的"
upfront,"adj. 预付的；在前面的；正直的，坦率的
adv. 在前面；提前支付（工资）"
would-be,"n. 想要成为…人
adj. 想要成为的；自称的；冒充的"
Web-based,adj. 基于网络的
four-year,"四年的
四年制的"
guild-like,
law-school, 美国的法学院
state-level,"州级的
国家层面
国家级"
ever-tougher,"比以往更艰难
比以往更严厉
比以往更坚强"
freethinking,"n. 自由思想
adj. 自由思想的"
left-liberal, 左翼自由主义；自由左翼；左翼自由派
number-sized,
time-limited,adj. 有时间限制的
peer-reviewed,n. 同行评议；同行审阅
just-released,
peer-review-led,
profit-oriented,"n. 盈利性
 利润导向；利润贡献导向；以利润为导向的"
two-dimensional,adj. 二维的；缺乏深度的
skyscrapers-full,
achievement-based, 以成就为基础
three-dimensional,adj. 三维的；立体的；真实的
top-tier-university,
filer,n. 锉磨工人；文件编档员；文件装钉员
hunter,n. 猎人；猎犬；搜寻者
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
fairness,n. 公平；美好；清晰；顺利性
Democrat,
outsider,n. 外人；无取胜希望者
claimant,n. 原告； 索赔人；提出要求者
laziness,n. 怠惰；无精打采
composer,n. 作曲家；作家，著作者；设计者
suffering,"n. 受难；苦楚
v. 受苦；蒙受（suffer的ing形式）
adj. 受苦的；患病的"
hostility,n. 敌意；战争行动
eagerness,n. 渴望；热心
citizenry,n. 市民；公民
sharpness,n. 锐利； 清晰度；疾速；严厉
elevation,n. 高地；海拔；提高；崇高；正面图
falsehood,n. 说谎；假话；不真实；错误的信仰
legitimacy,n. 合法；合理；正统
dependency,n. 属国；从属；从属物
excellence,n. 优秀；美德；长处
attraction,n. 吸引，吸引力；引力；吸引人的事物
continuity,n. 连续性；一连串；分镜头剧本
flexibility,n. 灵活性；弹性；适应性
restriction,n. 限制；约束；束缚
involvement,n. 牵连；包含；混乱；财政困难
entitlement,n. 权利；津贴
coexistence,n. 共存；和平共处；并立
archaeologist,n. 考古学家
encouragement,n. 鼓励
demonstration,n. 示范；证明；示威游行
interpretation,n. 解释；翻译；演出
neuroscientist,n. 神经系统科学家
reasonableness,n. 合理；妥当
regain,"n. 收复；取回
vt. 恢复；重新获得；收回
vi. 上涨"
outgrow,vt. 过大而不适于；出生；长大成熟而不再
subsidise,vt. 给…津贴或补贴，资助或补助…
publicize,vt. 宣传；公布
disconnect,"vt. 拆开，使分离
vi. 断开"
liberalize,"vt. 使自由化；宽大
vi. 自由化"
presuppose,vt. 假定；预料；以…为先决条件
lone,adj. 单身的；独自的；寂寞的；人迹稀少的
risky,adj. 危险的；冒险的；（作品等）有伤风化的
uneven,adj. 不均匀的；不平坦的； 奇数的
poetic,"n. 诗学，诗论
adj. 诗的，诗歌的；诗意的；诗人的"
jobless,"adj. 失业的，无业的；（关于）失业者的
n. 失业者"
minimal,adj. 最低的；最小限度的
sensual,adj. 感觉的；肉欲的；世俗的；感觉论的
damaging,"v. 破坏（damage的现在分词形式）；损害
adj. 有破坏性的，损害的；诽谤的"
unworthy,adj. 不值得的；无价值的；不相称的
Egyptian,"n. 埃及人；古代埃及语
adj. 埃及的；埃及人的"
unrelated,adj. 无关的，不相干的
illiberal,adj. 偏执的；吝啬的；粗鄙的；狭隘的；缺乏文化素养的
admirable,adj. 令人钦佩的；极好的；值得赞扬的
delighted,"adj. 高兴的；欣喜的
v. 使…兴高采烈；感到快乐（delight的过去分词）"
courageous,adj. 有胆量的，勇敢的
observable,"adj. 显著的；觉察得到的；看得见的
n.  可观察量；感觉到的事物"
ceremonial,"n. 仪式，礼节
adj. 仪式的；正式的，礼仪的"
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
conditional,"n. 条件句；条件语
adj. 有条件的；假定的"
restrictive,"n. 限制词
adj. 限制的；限制性的；约束的"
photographic,adj. 摄影的；逼真的；（尤指记忆）详细准确的
contemptuous,adj. 轻蔑的；侮辱的
appreciative,adj. 感激的；赏识的；有欣赏力的；承认有价值的
governmental,adj. 政府的；政治的；统治上的
collaborative,adj. 合作的，协作的
congressional,adj. 国会的；会议的；议会的
unconditional,adj. 无条件的；绝对的；无限制的
philosophical,adj. 哲学的（等于philosophic）；冷静的
archaeological,adj.  考古学的； 考古学上的
unrepresentative,adj. 非代表性的，不典型的
sadly,adv. 悲哀地；悲痛地
truly,adv. 真实地，不假；真诚地
deeply,adv. 深刻地；浓浓地；在深处
purely,adv. 纯粹地；仅仅，只不过；完全地；贞淑地；清洁地
surely,adv. 当然；无疑；坚定地；稳当地
heavily,adv. 沉重地；猛烈地；沉闷地
abruptly,adv. 突然地；唐突地
actively,adv. 积极地；活跃地
socially,adv. 在社会上；在社交方面；善于交际地
commonly,adv. 一般地；通常地；普通地
ethically,adv. 伦理上
unusually,adv. 非常；异乎寻常地；显著地
routinely,adv. 例行公事地；老一套地
typically,adv. 代表性地；作为特色地
generally,adv. 通常；普遍地，一般地
habitually,adv. 习惯地；日常地
constantly,adv. 不断地；时常地
irregularly,adv. 不规则地；不整齐地
fortnightly,"n. 双周刊
adj. 隔周发行的；每两周的
adv. 隔周地；每两星期一次地"
principally,adv. 主要地；大部分
voluntarily,adv. 自动地；以自由意志
potentially,adv. 可能地，潜在地
regrettably,adv. 遗憾地；抱歉地；可悲地
essentially,adv. 本质上；本来
exclusively,adv. 唯一地；专有地；排外地
financially,adv. 财政上；金融上
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
significantly,adv. 显著地；相当数量地
systematically,adv. 有系统地；有组织地
psychologically,adv. 心理上地；心理学地
extraordinarily,adv. 非常；格外地；非凡地
Ms,
cousin,n. 堂兄弟姊妹；表兄弟姊妹
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
smell,"n. 气味，嗅觉；臭味
vt. 嗅，闻；察觉到；发出…的气味
vi. 嗅，闻；有…气味"
queen,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
vt. 使…成为女王或王后
vi. 做女王"
enemy,"n. 敌人，仇敌；敌军
adj. 敌人的，敌方的"
advice,n. 建议；忠告；劝告；通知
stranger,n. 陌生人；外地人；局外人
daughter,"n. 女儿； 子代
adj. 女儿的；子代的"
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
discussion,n. 讨论，议论
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
Asia,n. 亚洲
poem,n. 诗
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
forest,"n. 森林
vt. 植树于，使成为森林"
wallet,n. 钱包，皮夹
danger,n. 危险；危险物，威胁
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
journey,"n. 旅行；行程
vi. 旅行"
difficulty,n. 困难，困境
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
arrive,vi. 到达；成功；达成；出生
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
British,"n. 英国人
adj. 英国的；英国人的；大不列颠的"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
dangerous,"adj. 危险的
危险地"
surprised,"v. 使惊奇（surprise的过去分词形式）
adj. 感到惊讶的，出人意料的"
along,"prep. 沿着；顺着
adv. 一起；向前；来到"
hardly,adv. 几乎不，简直不；刚刚
exactly,adv. 恰好地；正是；精确地；正确地
nor,"conj. 也不；也不是
adv. 也不；也没有"
fourth,"num. 第四
n. 第四，月的第四日；四分之一
adj. 第四的，第四个的；四分之一的"
wall,"n. 墙壁，围墙；似墙之物
adj. 墙壁的
vt. 用墙围住，围以墙"
wood,"n. 木材；木制品；树林
vt. 植林于；给…添加木柴
vi. 收集木材"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
instruction,n. 指令，命令；指示；教导；用法说明
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
weak,adj.  疲软的；虚弱的；无力的；不牢固的
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心"
telephone,"n. （美）电话；电话机；电话耳机
vt. 打电话给…
vi. 打电话"
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
middle,"adj. 中间的，中部的；中级的，中等的
n. 中间，中央；腰部"
German,"n. 德语；德国人
adj. 德国的；德语的，德国人的"
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇"
west,"n. 西；西方；西部
adj. 西方的；朝西的
adv. 在西方；向西方；自西方"
east,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方"
south,"n. 南方，南边；南部
adj. 南的，南方的
adv. 在南方，向南方"
north,
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
relief,n. 救济；减轻，解除；安慰；浮雕
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
citizen,n. 公民；市民；老百姓
election,n. 选举；当选；选择权；上帝的选拔
authority,n. 权威；权力；当局
physician,n.  医师；内科医师
integrity,n. 完整；正直；诚实；廉正
guideline,"n. 指导方针
参考"
wandering,"n. 闲逛；离题；神志恍惚
v. 漫游；闲逛（wander的ing形式）
adj. 流浪的；漫游的，徘徊的；蜿蜒的"
journalist,n. 新闻工作者；报人；记日志者
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
personality,n. 个性；品格；名人
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
core,
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
idiom,n. 成语，习语；土话
region,n. 地区；范围；部位
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
Atlantic,"n. 大西洋
adj. 大西洋的"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
territory,n. 领土，领域；范围；地域；版图
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
furniture,n. 家具；设备；储藏物
possession,n. 拥有；财产；领地；自制；着迷
event,n. 事件，大事；项目；结果
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
extent,n. 程度；范围；长度
domain,n. 领域；域名；产业；地产
context,n. 环境；上下文；来龙去脉
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
absence,n. 没有；缺乏；缺席；不注意
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
defence,n. 防御；防卫；答辩；防卫设备
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
movement,n. 运动；活动；运转；乐章
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
tradition,n. 惯例，传统；传说
statistic,"n. 统计数值
adj. 统计的，统计学的"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
comparison,n. 比较；对照；比喻；比较关系
conclusion,n. 结论；结局；推论
interaction,"n. 相互作用； 交互作用
n. 互动"
arrangement,n. 布置；整理；准备
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
impel,vt. 推动；驱使；激励
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
assess,vt. 评定；估价；对…征税
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
defend,"vi. 保卫；防守
vt. 辩护；防护"
delete,vt. 删除
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
consist,vi. 由…组成；在于；符合
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
astonish,vt. 使惊讶
prohibit,vt. 阻止，禁止
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
guilty,adj. 有罪的；内疚的
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
urgent,adj. 紧急的；急迫的
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
worthwhile,adj. 值得做的，值得花时间的
remarkable,adj. 卓越的；非凡的；值得注意的
incredible,adj. 难以置信的，惊人的
surrounding,"n. 环境，周围的事物
adj. 周围的，附近的"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
somehow,adv. 以某种方法；莫名其妙地
nowadays,"adv. 现今；时下
n. 当今"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
generation,n. 一代；产生；一代人；生殖
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
prince,n. 王子，国君；亲王；贵族
hacking,"v. 砍；出租（hack的ing形式）
adj. 骑马的"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
seminar,n. 讨论会，研讨班
princess,n. 公主；王妃；女巨头
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
editorial,"n. 社论
adj. 编辑的；社论的"
foresight,n. 先见，远见；预见；深谋远虑
counterpart,n. 副本；配对物；极相似的人或物
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
vessel,n. 船，舰； 脉管，血管；容器，器皿
smartphone,n. 智能手机
wilderness,n. 荒地；大量，茫茫一片
automobile,"n. 汽车
vt. 驾驶汽车
"
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
gene,n.  基因，遗传因子
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
colony,n. 殖民地；移民队；种群；动物栖息地
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
meantime,"n. 其时，其间
adv. 同时；其间"
edit,"vt. 编辑；校订
n. 编辑工作"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
await,vt. 等候，等待；期待
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
fulfil,vt. 履行；完成；实践；满足
thrive,vi. 繁荣，兴旺；茁壮成长
strive,vi. 努力；奋斗；抗争
analyze,vt. 对…进行分析，分解（等于analyse）
confuse,vt. 使混乱；使困惑
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
specify,vt. 指定；详细说明；列举；把…列入说明书
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
resemble,vt. 类似，像
