inadequate,adj. 不充分的，不适当的
passionate,adj. 热情的；热烈的，激昂的；易怒的
unfamiliar,adj. 不熟悉的；不常见的；没有经验的
disruptive,adj. 破坏的；分裂性的；制造混乱的
unbearable,adj. 难以忍受的；承受不住的
ungrateful,adj. 忘恩负义的；不领情的；讨厌的；徒劳的
educational,adj. 教育的；有教育意义的
involuntary,adj. 无意识的；自然而然的；不知不觉的
unrealistic,adj. 不切实际的；不实在的
inopportune,adj. 不凑巧的，不适当的；不合时机的
unthinkable,adj. 不能想象的；过分的
unreasonable,adj. 不合理的；过度的；不切实际的；非理智的
psychological,adj. 心理的；心理学的；精神上的
inexperienced,adj. 无经验的；不熟练的
unconventional,adj. 非常规的；非传统的；不依惯例的
easily,adv. 容易地；无疑地
briefly,adv. 短暂地；简略地；暂时地
greatly,adv. 很，大大地；非常
willingly,adv. 欣然地；愿意地，乐意地
adequately,adv. 充分地；足够地；适当地
explicitly,adv. 明确地；明白地
reportedly,adv. 据报道；据传闻
voluntarily,adv. 自动地；以自由意志
economically,adv. 经济地；在经济上；节俭地
methodically,adv. 有方法地；有系统地
shoe,"n. 鞋；蹄铁；外胎
vt. 给……穿上鞋；穿……鞋"
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
supermarket,n. 超级市场；自助售货商店
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
blood,"n. 血，血液；血统
vt. 从…抽血；使先取得经验"
diary,n. 日志，日记；日记簿
elder,"n. 老人；长辈；年长者；父辈
adj. 年长的；年龄较大的；资格老的"
action,n. 行动；活动；功能；战斗；情节
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币"
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
T-shirt,n. 短袖圆领汗衫
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
Christmas,n. 圣诞节；圣诞节期间
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
kill,"vt. 杀死；扼杀；使终止；抵消
vi. 杀死
n. 杀戮；屠杀
adj. 致命的；致死的"
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
afford,vt. 给予，提供；买得起
grey,"n. 灰色
adj. 灰色的；灰白的
vt. 使变成灰色；使变老
vi. 变成灰色；老化"
usual,adj. 通常的，惯例的；平常的
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
north,
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
famous,adj. 著名的；极好的，非常令人满意的
western,"n. 西方人；西部片，西部小说
adj. 西方的，西部的；有西方特征的"
towards,prep. 朝，向；对于；有助于
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
sale,n. 销售；出售；拍卖；销售额；廉价出售
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
invent,vt. 发明；创造；虚构
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
mood,n. 情绪，语气；心境；气氛
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
threat,n. 威胁，恐吓；凶兆
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
politics,n. 政治，政治学；政治活动；政纲
exposure,n. 暴露；曝光；揭露；陈列
novelist,n. 小说家
behaviour,n. 行为；习性；运行状况（=behavior）
consultant,n. 顾问；咨询者；会诊医生
occupation,n. 职业；占有；消遣；占有期
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
alcohol,n. 酒精，乙醇
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
species,"n.  物种；种类
adj. 物种上的"
habitat,n.  栖息地，产地
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
majority,n. 多数；成年
priority,n. 优先；优先权； 优先次序；优先考虑的事
instance,"n. 实例；情况；建议
vt. 举...为例"
technique,n. 技巧，技术；手法
operation,n. 操作；经营； 手术； 运算
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
infection,n. 感染；传染；影响；传染病
investment,n. 投资；投入；封锁
conclusion,n. 结论；结局；推论
extinction,n. 灭绝；消失；消灭；废止
conservation,n. 保存，保持；保护
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
enable,vt. 使能够，使成为可能；授予权利或方法
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
occupy,vt. 占据，占领；居住；使忙碌
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
destroy,vt. 破坏；消灭；毁坏
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
maintain,vt. 维持；继续；维修；主张；供养
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
establish,"vi. 植物定植
vt. 建立；创办；安置"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
upper,adj. 上面的，上部的；较高的
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
scared,"v. 使害怕（scare的过去分词）
adj. 害怕的"
capable,adj. 能干的，能胜任的；有才华的
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
creative,adj. 创造性的
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
historic,adj. 有历史意义的；历史上著名的
available,adj. 可获得的；可购得的；可找到的；有空的
efficient,adj. 有效率的；有能力的；生效的
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
merely,adv. 仅仅，只不过；只是
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
acre,n. 土地，地产；英亩
auto,"n. 汽车（等于automobile）；自动
vi. 乘汽车"
dean,n. 院长；系主任；教务长；主持牧师
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
status,n. 地位；状态；情形；重要身份
therapy,n. 治疗，疗法
wildlife,"n. 野生动植物
adj. 野生动植物的"
Congress,
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
underestimate,"n. 低估
vt. 低估；看轻"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
define,vt. 定义；使明确；规定
fulfil,vt. 履行；完成；实践；满足
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
strive,vi. 努力；奋斗；抗争
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
endanger,vt. 危及；使遭到危险
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
attribute,"n. 属性；特质
vt. 归属；把…归于"
formulate,vt. 规划；用公式表示；明确地表达
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
constitute,vt. 组成，构成；建立；任命
accumulate,"vt. 积攒
vi. 累积；积聚"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
uneasy,adj. 不舒服的；心神不安的；不稳定的
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
disappointed,adj. 失望的，沮丧的；受挫折的
forth,adv. 向前，向外；自…以后
cliché,
chunk,n. 大块；矮胖的人或物
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
rhetoric,"n. 修辞，修辞学；华丽的词藻
adj. 花言巧语的"
metaphor,n. 暗喻，隐喻；比喻说法
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
sentiment,n. 感情，情绪；情操；观点；多愁善感
coalition,n. 联合；结合，合并
milestone,n. 里程碑，划时代的事件
aftermath,n. 后果；余波
hypothesis,n. 假设
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
overstate,vt. 夸张；夸大的叙述
sacred,adj. 神的；神圣的；宗教的；庄严的
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
brim,"n. 边；边缘
vi. 满溢；溢出
vt. 使…满溢"
critic,n. 批评家，评论家；爱挑剔的人
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
hormone,n.  激素，荷尔蒙
intensity,n. 强度；强烈； 亮度；紧张
management,n. 管理；管理人员；管理部门；操纵；经营手段
technician,n. 技师，技术员；技巧纯熟的人
philosopher,n. 哲学家；哲人
compensation,n. 补偿；报酬；赔偿金
simplify,vt. 简化；使单纯；使简易
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
civilized,"adj. 文明的；有礼貌的
v. 教化；使…文明；启发（civilize的过去分词）"
immersive,adj. 拟真的；沉浸式的；沉浸感的；增加沉浸感的
profitable,adj. 有利可图的；赚钱的；有益的
beneficial,adj. 有益的，有利的；可享利益的
effectively,adv. 有效地，生效地；有力地；实际上
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
army,n. 陆军，军队
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
string,n. 线，弦，细绳；一串，一行
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
lend,"vt. 贷；增添，提供；把……借给
vi. 贷款"
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
awful,adj. 可怕的；极坏的；使人敬畏的
comfortable,"n. 盖被
adj. 舒适的，舒服的"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
fiver,n. 五元美钞，五镑钞票
spree,"n. 狂欢；无节制的狂热行为；欢闹
vi. 狂欢；狂饮"
prairie,n. 大草原；牧场
endorphin,n. 脑内啡
coax,"vt. 哄；哄诱；慢慢将…弄好
vi. 哄骗；劝诱"
searing,"adj. 灼热的
v. 使枯萎（sear的ing形式）"
wellbeing,n. 幸福；福利；安乐
mind-set,n. 心态；思想的形式
grassland,n. 草原；牧草地
backdrop,n. 背景；背景幕；交流声
bootcamp,n. 训练营地
brain-scan, 脑部扫描；脑扫描；大脑扫描
byproduct,n. 副产品
childcare,"n. 儿童保育；儿童照管
adj. 儿童保育的；托管的"
e-reader, 电子书阅读器；电子阅读器；电子书阅读装置
flywheel,n.  飞轮，惯性轮；调速轮
give-in,
grownup, 成人
signpost,n. 路标；指示牌
stepdaughter,n. 继女；过继的女儿
Superman,
time-wasting,浪费时间的
landowner,n. 地主，土地所有者
decision-making,"n. 决策
adj. 决策的"
backfire,"n. 逆火，回火
vi. 放出逆火；预先放火；产生出乎意料及事与愿违的结果"
win-win,adj. 双赢的；互利互惠的
self-help,"n. 自助；自救；自立
adj. 自助的"
carefree,adj. 无忧无虑的；不负责的
good-paying,
longer-term,更长期的
work-related,与工作有关的
bite-sized,adj. 很小的
cross-generation,
different-sized,
forward-thinking,有远见的
goal-focused, 明确的目标；明确的工作目标；明确目标
headquartered,"adj. 以…为总部所在地的
v. 设立总部于（headquarter的过去式和过去分词）"
less-experienced,
pre-marital, 婚前的
range-wide,
single-purpose,adj. 单一目的，单目标
anymore,adv. 再也不，不再
doer,n. 实干家；行为者
coder,n. 编码器；编码员
biologist,n. 生物学家
silliness,n. 愚蠢；糊涂
retirement,n. 退休，退役
instructor,n. 指导书；教员；指导者
insistence,n. 坚持，强调；坚决主张
programmer,n.  程序设计员
fulfillment,n. 履行；实行
inclination,n. 倾向，爱好；斜坡
goallessness, 无耻
inefficiency,n. 效率低；无效率；无能
collaboration,n. 合作；勾结；通敌
individualism,n. 个人主义；利己主义；个人特征
environmentalist,n. 环保人士；环境论者；研究环境问题的专家
acreage,n. 面积，英亩数
conveyor,n. 输送机， 传送机；传送带；运送者，传播者
programming,n. 设计，规划；编制程序， 程序编制
realism,n. 现实主义；实在论；现实主义的态度和行为
overload,"vt. 超载，超过负荷
n. 超载；负荷过多"
indicator,n. 指示器； 指示剂； 指示符；压力计
modernism,n. 现代主义；现代思想；现代作风
correlation,n.  相关，关联；相互关系
interruption,n. 中断；干扰；中断之事
codify,vt. 编纂；将...编成法典；编成法典
overtax,vt. 负担过度（过去式overtaxed，过去分词overtaxed，现在分词overtaxing，第三人称单数overtaxes，名词overtaxation）； 课税过重；使工作过度
remodel,vt. 改造；改变；改型
maximise,vt. 把…增加到最大限度；尽量增大（等于maximize）
misguide,vt. 误导；使误入歧途
prioritize,"vt. 把…区分优先次序
vi. 把事情按优先顺序排好"
rediscover,vt. 重新发现；再发现
mixed,"adj. 混合的；形形色色的；弄糊涂的
v. 混合；弄混（mix的过去式和过去分词）"
lesser,"adj. 较少的；次要的；更小的
adv. 较少地；更小地；不及"
married,"adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的
n. 已婚者
v. 结婚，与…结婚（marry的过去式）"
endless,adj. 无止境的；连续的；环状的；漫无目的的
selective,"adj. 选择性的
讲究的
有选择地
有选择性地
仔细挑选地"
overjoyed,"adj. 狂喜的；极度高兴的
v. 使…万分高兴；使…狂喜（overjoy的过去分词）"
reputable,adj. 声誉好的；受尊敬的；卓越的
determined,"v. 决定；断定（determine的过去分词）
adj. 决定了的；坚决的"
regulatory,adj. 管理的；控制的；调整的
manageable,adj. 易管理的；易控制的；易办的
midwestern,adj. 美国中西部的
repetitive,adj. 重复的
ritualistic,adj. 仪式的；固守仪式的；惯例的
digitalized,"adj. 数字化的
v. 使数字化(digitalize的过去分词); 以洋地黄治疗"
unfortunate,adj. 不幸的；令人遗憾的；不成功的
unstoppable,adj. 无法阻碍的；无法停止的（副词unstoppably）
generational,adj. 一代的；生育的
introductory,adj. 引导的，介绍的；开端的
governmental,adj. 政府的；政治的；统治上的
environmental,adj. 环境的，周围的；有关环境的
materialistic,adj. 唯物主义的；唯物论的；金钱至上的
unintentional,adj. 非故意的；无意识的
confrontational,adj. 对抗的；对抗性的
surely,adv. 当然；无疑；坚定地；稳当地
evenly,adv. 均匀地；平衡地；平坦地；平等地
equally,adv. 同样地；相等地，平等地；公平地
formally,adv. 正式地；形式上
publicly,adv. 公然地；以公众名义
steadily,adv. 稳定地；稳固地；有规则地
promptly,adv. 迅速地；立即地；敏捷地
logically,adv. 逻辑上；合乎逻辑
strikingly,adv. 显著地；突出地，引人注目地
constantly,adv. 不断地；时常地
mournfully,adv. 悲哀地；凄惨地
rationally,adv. 理性地；讲道理地
differently,adv. 不同地；差异；各种
potentially,adv. 可能地，潜在地
drastically,adv. 彻底地；激烈地
emotionally,adv. 感情上；情绪上；令人激动地；情绪冲动地
extensively,adv. 广阔地；广大地
instinctively,adv. 本能地
appropriately,adv. 适当地；合适地；相称地
overwhelmingly,adv. 压倒性地；不可抵抗地
instrumentally,adv. 仪器地；有助益地；用乐器演奏地
unintentionally,adv. 无意地；非故意地；非存心地
pupil,n. 学生； 瞳孔；未成年人
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
hobby,n. 嗜好；业余爱好
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
visitor,n. 访问者，参观者；视察者；候鸟
president,n. 总统；董事长；校长；主席
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
glass,"n. 玻璃；玻璃制品；镜子
vt. 反映；给某物加玻璃
vi. 成玻璃状"
forest,"n. 森林
vt. 植树于，使成为森林"
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
tennis,n. 网球（运动）
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
Saturday,n. 星期六
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
pair,"n. 一对，一双，一副
vt. 把…组成一对"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
Monday,n. 星期一
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
born,"v. 出世（bear的过去分词）
adj. 天生的"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
huge,adj. 巨大的；庞大的；无限的
lazy,adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的
basic,"n. 基础；要素
adj. 基本的；基础的"
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
honest,adj. 诚实的，实在的；可靠的；坦率的
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
somewhere,"n. 某个地方
adv. 在某处；到某处"
towards,prep. 朝，向；对于；有助于
meaning,"n. 意义；含义；意图
adj. 意味深长的
v. 意味；意思是（mean的ing形式）"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
discover,"vi. 发现
vt. 发现；发觉"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
talent,n. 才能；天才；天资
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
athlete,n. 运动员，体育家；身强力壮的人
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
interaction,"n. 相互作用； 交互作用
n. 互动"
presentation,n. 展示；描述，陈述；介绍；赠送
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
sewing,"n. 缝纫；缝纫业
v. 缝（sew的ing形式）"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
